Title,abstract
ChatGPT as a commenter to the news: can LLMs generate human-like opinions?,"This paper investigates the capability of large language models (LLMs) to generate opinionated comments on news articles that resemble human responses. Using ChatGPT as a representative LLM, the study evaluates generated comments across multiple news domains, including politics, economics, and social issues. The analysis focuses on linguistic structure, sentiment distribution, stance consistency, and topical relevance. Human-written comments are used as a baseline for comparison through both automated metrics and human evaluation. Results indicate that while LLM-generated comments demonstrate high grammatical accuracy and contextual relevance, they exhibit limitations in originality, personal experience expression, and long-term opinion consistency. The findings suggest that LLMs can approximate surface-level characteristics of human opinions but lack deeper cognitive and experiential grounding. This work contributes to understanding the role of LLMs in online discourse and raises implications for automated participation in public opinion spaces.   Large language models are increasingly deployed in interactive and content-generation settings, including simulated participation in online discussions. This study examines whether LLMs can function as news commenters by producing opinions that are indistinguishable from human-authored comments. We conduct a controlled experiment in which ChatGPT generates comments in response to curated news articles, and these outputs are compared with real user comments using lexical, semantic, and pragmatic features. Evaluation results show that LLM-generated opinions align closely with dominant narrative patterns and commonly expressed viewpoints but tend to avoid extreme positions and nuanced personal judgments. Additionally, the model demonstrates probabilistic opinion construction rather than genuine belief formation. The study concludes that LLMs generate statistically plausible opinions rather than authentic human perspectives, highlighting both their utility and limitations in modeling public discourse."
Understanding the Effects of Human-written Paraphrases in LLM-generated Text Detection,"The rapid adoption of large language models has increased the need for reliable methods to detect machine-generated text. This paper investigates the impact of human-written paraphrases on the performance of LLM-generated text detection systems. We analyze whether paraphrasing machine-generated content by humans affects detector accuracy across multiple detection models. The study considers lexical variation, syntactic restructuring, and semantic preservation introduced through paraphrasing. Experimental results show that human-written paraphrases significantly reduce detection performance, leading to higher false-negative rates. The findings indicate that current detection approaches rely heavily on surface-level statistical patterns that are disrupted by paraphrasing. This work highlights limitations in existing detection methods and emphasizes the need for more robust detection strategies that account for human-mediated text transformations.  Detecting text generated by large language models is a critical challenge in maintaining content authenticity. This study examines how human-written paraphrases influence the detectability of LLM-generated text. Using a benchmark dataset of machine-generated texts and their human-paraphrased versions, we evaluate multiple state-of-the-art detection models. The analysis focuses on changes in token distribution, syntactic complexity, and semantic similarity. Results demonstrate that even minimal human paraphrasing substantially degrades detector performance, suggesting that paraphrased content deviates from learned machine-generation signatures. The study concludes that human intervention introduces linguistic variability that current detectors fail to model effectively. These findings provide insights into adversarial weaknesses of LLM detection systems and inform future research on resilient detection methodologies."
Distinguishing LLM-generated from Human-written Code by Contrastive Learning,"The increasing use of large language models for code generation has created challenges in distinguishing machine-generated code from human-written implementations. This paper proposes a contrastive learning–based approach to differentiate LLM-generated code from human-authored code. The method learns discriminative representations by maximizing the separation between paired code samples from different sources while preserving semantic similarity within the same class. Experiments are conducted on multi-language code datasets generated by state-of-the-art LLMs and collected from human repositories. Results demonstrate that contrastive representations improve classification performance compared to supervised baselines, particularly in cross-model and cross-language settings. The findings indicate that contrastive learning captures structural and stylistic differences that are not easily observable through surface-level features.As code generation systems based on large language models become widely adopted, reliable identification of machine-generated code is increasingly important. This study explores the use of contrastive learning to distinguish LLM-generated code from human-written code. The proposed framework constructs positive and negative code pairs based on source labels and trains an encoder to learn source-sensitive representations. Evaluation across multiple programming languages and LLM variants shows consistent improvements in detection accuracy and robustness. Analysis reveals that LLM-generated code exhibits higher structural regularity and lower stylistic diversity compared to human-written code. The study concludes that contrastive learning provides an effective mechanism for modeling latent differences between human and machine code generation processes."
Differentiate ChatGPT-generated and Human-written Medical Texts,"The increasing application of large language models in the medical domain raises concerns regarding the origin and reliability of generated clinical and biomedical text. This paper investigates methods for differentiating ChatGPT-generated medical texts from human-written content. The study analyzes lexical, syntactic, and semantic features extracted from medical documents, including clinical notes and health-related narratives. Multiple classification models are evaluated to measure separability between the two text sources. Experimental results show that ChatGPT-generated medical text exhibits higher structural uniformity and controlled terminology usage, while human-written text demonstrates greater variability and contextual deviation. The findings highlight persistent distinctions between machine-generated and human-authored medical texts and support the development of automated detection systems for medical content verification.Large language models such as ChatGPT are increasingly used to generate medical text, necessitating reliable mechanisms for source identification. This study examines the differences between ChatGPT-generated and human-written medical texts using statistical and model-based detection approaches. The evaluation focuses on domain-specific vocabulary distribution, sentence complexity, coherence patterns, and factual consistency. Results indicate that ChatGPT-generated texts tend to follow standardized medical phrasing and exhibit reduced stylistic diversity compared to human-authored documents. Despite high linguistic fluency, detectable disparities remain in discourse structure and contextual reasoning. The study concludes that automated methods can effectively distinguish between ChatGPT-generated and human-written medical texts, with implications for medical documentation integrity and clinical safety."
"How Close is ChatGPT to Human Experts? Comparison Corpus, Evaluation, and Detection","This paper examines the similarity between ChatGPT-generated content and human expert-written text through systematic comparison, evaluation, and detection. A curated comparison corpus is constructed consisting of expert-authored documents and ChatGPT-generated counterparts across multiple knowledge-intensive domains. The evaluation framework measures linguistic quality, domain accuracy, structural consistency, and reasoning patterns using automated metrics and expert annotations. Experimental results indicate that ChatGPT achieves high surface-level fluency and domain-aligned terminology but shows limitations in deep reasoning, contextual adaptation, and expert judgment. Detection experiments further reveal that, despite increasing similarity, distinguishable patterns remain between machine-generated and expert-written text. The study provides quantitative insights into the proximity of ChatGPT to human expertise and informs future research on reliable evaluation and detection methodologies.Large language models are increasingly applied to expert-level content generation, raising questions about their closeness to human expert performance. This study evaluates ChatGPT in comparison with human experts by constructing a parallel corpus and applying multi-dimensional assessment and detection techniques. The analysis focuses on semantic accuracy, discourse organization, and task-specific reasoning across specialized domains. Results show that ChatGPT closely matches expert writing in syntactic structure and general knowledge expression but diverges in nuanced decision-making and context-sensitive interpretation. Detection models demonstrate moderate to high accuracy in separating ChatGPT-generated text from expert-authored content. The findings highlight both the strengths and remaining gaps of ChatGPT relative to human experts, contributing to the understanding of expert-level language generation systems."
Can ChatGPT Assess Human Personalities? A General Evaluation Framework,"This paper investigates the capability of ChatGPT to assess human personality traits and proposes a general evaluation framework for systematic analysis. The study evaluates ChatGPT-generated personality assessments using standardized psychological models, including trait-based representations. The framework measures consistency, trait alignment, and response stability across controlled input scenarios. Experimental results indicate that ChatGPT can produce personality assessments that align with common trait descriptors but exhibit limitations in reliability, contextual grounding, and inter-trait coherence. The findings suggest that while ChatGPT can approximate personality assessment patterns, it lacks access to underlying psychological states. The proposed framework provides a structured approach for evaluating language models in personality-related tasks.Large language models are increasingly applied to psychological and behavioral analysis tasks, including personality assessment. This study examines whether ChatGPT can assess human personalities and introduces a general evaluation framework to measure its performance. The evaluation considers trait prediction accuracy, internal consistency, sensitivity to input variation, and bias patterns. Results show that ChatGPT generates statistically plausible personality profiles that reflect dominant linguistic cues but demonstrate instability across paraphrased or incomplete inputs. Detection analysis further indicates that assessments are driven by probabilistic language modeling rather than psychological inference. The study concludes that ChatGPT can simulate personality assessment behavior but does not perform genuine personality evaluation, highlighting implications for responsible use in psychological contexts."
Is LLM-Generated Code More Maintainable \& Reliable than Human-Written Code?,"This paper investigates the maintainability and reliability of code generated by large language models (LLMs) in comparison to human-written code. The study evaluates code samples across multiple programming languages using standardized software engineering metrics, including code complexity, modularity, documentation quality, and defect proneness. Automated analysis and controlled testing are applied to assess functional correctness and long-term maintainability indicators. Experimental results show that LLM-generated code demonstrates consistent structure and adherence to common coding conventions, while human-written code exhibits greater stylistic diversity and contextual adaptation. However, LLM-generated code presents limitations in robustness under edge cases and evolving requirements. The findings provide empirical insights into the strengths and constraints of LLM-generated code in software development.The increasing integration of large language models into software development workflows raises questions regarding the quality of machine-generated code. This study compares LLM-generated code with human-written implementations in terms of maintainability and reliability. The evaluation framework incorporates static code analysis, test coverage, fault injection, and maintainability indices. Results indicate that LLM-generated code often achieves higher baseline readability and structural uniformity but shows reduced adaptability to complex system contexts and error-handling scenarios. Human-written code demonstrates superior resilience in long-term maintenance tasks. The study concludes that LLM-generated code offers advantages in initial development phases but does not consistently surpass human-written code in maintainability and reliability."
Real or Fake Text?: Investigating Human Ability to Detect Boundaries Between Human-Written and Machine-Generated Text,"This paper investigates human capability to distinguish between human-written text and machine-generated text. A controlled experimental setup is designed in which participants evaluate mixed documents containing both human-authored and machine-generated segments. The analysis focuses on detection accuracy, response confidence, and boundary identification performance. Results show that human participants achieve limited accuracy in identifying transition points between human-written and machine-generated text, particularly when the generated text exhibits high fluency and topical consistency. Performance varies across domains and participant expertise levels. The findings indicate that surface-level linguistic similarity reduces human detection effectiveness, highlighting challenges in manual identification of machine-generated content.As machine-generated text increasingly resembles human writing, the ability of humans to detect its presence becomes uncertain. This study examines how effectively humans can identify boundaries between human-written and machine-generated text within the same document. Participants are asked to annotate boundary locations and classify text segments under controlled conditions. Evaluation metrics include precision, recall, and inter-annotator agreement. Experimental results reveal low consistency and moderate accuracy in boundary detection, with frequent misclassification of fluent machine-generated passages as human-written. The study concludes that human judgment alone is insufficient for reliable detection, emphasizing the need for automated tools and hybrid evaluation approaches."
Can LLM-Generated Misinformation Be Detected?,"The increasing capability of large language models (LLMs) to generate fluent and coherent text raises concerns about the spread of automated misinformation. This paper investigates whether misinformation generated by LLMs can be reliably detected using existing detection techniques. The study evaluates multiple detection models on datasets containing factual content, intentionally misleading text, and LLM-generated misinformation across different domains. Analysis focuses on linguistic patterns, factual inconsistency signals, and model confidence behaviors. Experimental results show that while detection models perform reasonably on explicit misinformation, their effectiveness decreases significantly when misinformation is subtly generated with high linguistic fluency. The findings indicate limitations in current detection approaches and highlight the need for misinformation-aware modeling strategies.Large language models have the potential to produce misinformation that is difficult to distinguish from factual content. This study examines the detectability of LLM-generated misinformation through systematic evaluation of automated detection methods. The proposed framework analyzes semantic consistency, factual verification cues, and stylistic features in generated texts. Results demonstrate that LLM-generated misinformation often avoids obvious falsehood markers and aligns closely with credible narrative structures, reducing detection accuracy. Additionally, cross-model evaluation reveals weak generalization of detectors to unseen generation models. The study concludes that detecting LLM-generated misinformation remains a challenging problem and requires integration of linguistic analysis with external knowledge verification mechanisms."
Beyond Binary: Towards Fine-Grained LLM-Generated Text Detection via Role Recognition and Involvement Measurement,"Current approaches to LLM-generated text detection predominantly focus on binary classification between human-written and machine-generated content. This paper proposes a fine-grained detection framework that extends beyond binary labels by incorporating role recognition and involvement measurement. The method models different generative roles, including primary authoring, assisted writing, and post-editing, and quantifies the degree of LLM involvement in text production. Experiments are conducted on a newly constructed dataset with varying levels of human–LLM collaboration. Results demonstrate that the proposed approach improves detection granularity and provides interpretable insights into generation roles. The findings suggest that fine-grained modeling better reflects real-world text production processes than binary detection methods.As large language models are increasingly integrated into writing workflows, binary LLM-generated text detection becomes insufficient. This study introduces a fine-grained detection approach based on role recognition and involvement measurement to characterize human–LLM collaborative writing. The framework identifies distinct contribution roles and estimates the proportion of machine-generated content within a text. Evaluation results show that the proposed method outperforms traditional binary classifiers in mixed-authorship scenarios and maintains robustness across domains. Analysis indicates that role-aware representations capture latent generation patterns overlooked by existing detectors. The study concludes that fine-grained detection enables more accurate and transparent assessment of LLM involvement in textual content."
Prompting a Large Language Model to Generate Diverse Motivational Messages: A Comparison with Human-Written Messages,"This paper investigates the ability of a large language model to generate diverse motivational messages through prompt-based control and compares the outputs with human-written messages. The study evaluates diversity, semantic variation, emotional tone, and linguistic structure across multiple prompt configurations. Human-authored motivational messages are used as a reference corpus. Quantitative metrics and qualitative analysis are applied to assess variation and repetitiveness. Results indicate that prompt engineering increases lexical and thematic diversity in model-generated messages, but structural patterns remain consistent across outputs. Compared to human-written messages, LLM-generated content shows reduced contextual specificity and limited personalization. The findings highlight both the effectiveness and constraints of prompt-based approaches for motivational message generation.Large language models are increasingly used to generate motivational content in health, education, and productivity applications. This study compares LLM-generated motivational messages, produced via controlled prompting strategies, with human-written messages. The evaluation framework measures diversity using lexical dispersion, semantic distance, and stylistic variation metrics. Experimental results show that LLMs can generate a wide range of motivational expressions under varied prompts, achieving diversity levels comparable to human-written messages at the surface level. However, deeper analysis reveals lower variability in narrative perspective and motivational strategy. The study concludes that while prompting enhances diversity, LLM-generated motivational messages remain constrained by learned linguistic templates."
Is ChatGPT A Good Translator? Yes With GPT-4 As The Engine,"This paper evaluates the translation quality of ChatGPT when powered by GPT-4 across multiple language pairs and domains. The study compares GPT-4–based translations with professional human translations and established neural machine translation systems. Evaluation metrics include automatic scores such as BLEU, METEOR, and COMET, as well as targeted human assessment of adequacy and fluency. Experimental results show that ChatGPT with GPT-4 achieves competitive performance, particularly in high-resource language pairs and general-domain text. However, limitations are observed in handling low-resource languages, domain-specific terminology, and culturally sensitive expressions. The findings indicate that GPT-4–based ChatGPT functions as a strong general-purpose translation system under appropriate conditions.Large language models have recently demonstrated strong multilingual capabilities, prompting evaluation of their effectiveness in machine translation tasks. This study investigates whether ChatGPT, using GPT-4 as its underlying engine, can serve as a reliable translator. A multilingual benchmark is constructed to compare GPT-4–based translations with human-written references and conventional neural machine translation outputs. Results show that ChatGPT achieves high fluency and semantic adequacy, often matching or surpassing baseline systems in general-domain settings. Nevertheless, performance variability is observed in technical domains and idiomatic expressions. The study concludes that while ChatGPT with GPT-4 is a capable translation system, targeted adaptation remains necessary for specialized translation scenarios."
"AI, write an essay for me: A large-scale comparison of human-written versus ChatGPT-generated essays","This paper presents a large-scale comparative analysis of essays written by humans and essays generated by ChatGPT. A benchmark dataset is constructed comprising human-authored essays and model-generated counterparts produced under controlled prompts. The evaluation examines linguistic quality, coherence, argument structure, topical relevance, and stylistic diversity using both automated metrics and human assessment. Experimental results indicate that ChatGPT-generated essays demonstrate high grammatical correctness and organizational consistency, while human-written essays exhibit greater variability in argumentation and narrative development. Despite surface-level similarity, detectable differences remain in originality, reasoning depth, and rhetorical strategy. The findings provide empirical evidence on the comparative characteristics of human and AI-generated essay writing.The increasing use of large language models for essay generation raises questions about their similarity to human writing at scale. This study conducts a large-scale comparison between human-written essays and essays generated by ChatGPT across multiple topics and proficiency levels. The analysis focuses on lexical diversity, discourse coherence, argumentative complexity, and repetitiveness. Results show that ChatGPT-generated essays align closely with standard essay structures and exhibit consistent fluency, but demonstrate limited deviation from common patterns and reduced use of personalized reasoning. Detection experiments further reveal that automated systems can still differentiate between the two sources. The study contributes to understanding the capabilities and limitations of AI-generated essays in educational and evaluative contexts."
"One Small Step for Generative AI, One Giant Leap for AGI: A Complete Survey on ChatGPT in AIGC Era","This paper presents a comprehensive survey of ChatGPT within the context of the Artificial Intelligence Generated Content (AIGC) era, examining its role as a representative large language model. The survey systematically reviews ChatGPT’s architecture, training paradigm, capability spectrum, and application domains, including text generation, reasoning, coding, education, and creative tasks. Additionally, the study analyzes evaluation methodologies, safety considerations, bias, and ethical implications. Comparative analysis with prior generative models highlights incremental advances toward more general intelligence behaviors. The survey also discusses open challenges related to scalability, controllability, and alignment. The findings position ChatGPT as a significant milestone in generative AI development while clarifying its limitations in achieving artificial general intelligence.The rapid adoption of ChatGPT marks a critical transition in the AIGC era, prompting renewed discussion on its implications for artificial general intelligence. This survey provides a structured and comprehensive overview of ChatGPT, covering model design, training strategies, performance across tasks, and real-world deployment scenarios. The paper categorizes existing research on evaluation benchmarks, robustness, interpretability, and societal impact. Furthermore, it summarizes emerging trends in human–AI collaboration and multi-modal extension. Analysis indicates that ChatGPT represents a substantial advancement in generative capability but remains constrained by data dependence and probabilistic reasoning. The survey identifies key research directions required to bridge the gap between current generative AI systems and AGI."
Does Human Collaboration Enhance the Accuracy of Identifying LLM-Generated Deepfake Texts?,"This paper investigates whether human collaboration improves the accuracy of identifying deepfake texts generated by large language models. The study compares individual and collaborative human judgments in detecting LLM-generated content across multiple text domains. Detection performance is evaluated using accuracy, precision, recall, and inter-annotator agreement. Experimental results show that collaborative decision-making leads to measurable improvements in detection accuracy compared to individual judgments, particularly in ambiguous cases. However, variability across groups remains significant. The findings suggest that while human collaboration enhances detection performance, it does not fully overcome the challenges posed by high-quality LLM-generated deepfake texts.As LLM-generated deepfake texts become increasingly realistic, reliable detection methods are required. This study examines the impact of human collaboration on the identification of LLM-generated deepfake text. A controlled user study is conducted in which participants perform detection tasks individually and in groups. The analysis focuses on collective accuracy, confidence calibration, and error patterns. Results indicate that collaborative assessment reduces false-negative rates and improves consistency relative to individual evaluation. Nonetheless, performance remains constrained by the linguistic fluency of generated text. The study concludes that human collaboration provides incremental benefits for deepfake text detection but should be integrated with automated systems for practical deployment."
Mathematical Capabilities of ChatGPT,"This paper evaluates the mathematical capabilities of ChatGPT across a range of problem types, including arithmetic, algebra, calculus, probability, and mathematical reasoning tasks. The study benchmarks ChatGPT against standardized math datasets and human reference solutions using accuracy and step-consistency metrics. Results indicate that ChatGPT performs reliably on routine and well-structured problems but exhibits performance degradation on multi-step reasoning, symbolic manipulation, and proof-oriented tasks. Error analysis reveals sensitivity to problem formulation and intermediate reasoning consistency. The findings provide a systematic assessment of ChatGPT’s strengths and limitations in mathematical problem solving.Large language models have demonstrated emerging abilities in mathematical reasoning, prompting evaluation of their effectiveness in formal mathematics. This study analyzes ChatGPT’s performance on diverse mathematical tasks, ranging from basic computation to advanced reasoning. The evaluation framework considers correctness, logical coherence, and solution stability under paraphrased inputs. Experimental results show that ChatGPT achieves high fluency in explaining mathematical procedures but produces inconsistent or incorrect outputs in complex reasoning scenarios. The study concludes that ChatGPT exhibits partial mathematical competence driven by pattern learning rather than formal mathematical understanding."
Leveraging Explainable AI for LLM Text Attribution: Differentiating Human-Written and Multiple LLMs-Generated Text,"This paper investigates the use of explainable artificial intelligence (XAI) techniques for attributing text to human authors or multiple large language models. The proposed framework integrates text attribution models with explainability methods to identify discriminative linguistic features associated with different generation sources. Experiments are conducted on a multi-source corpus containing human-written text and text generated by several LLMs. Results demonstrate that XAI-enhanced attribution models achieve improved classification accuracy while providing interpretable explanations of model decisions. Analysis reveals distinct lexical, syntactic, and stylistic patterns across different LLMs and human authors. The findings highlight the value of explainability in enhancing transparency and trust in text attribution systems.Attributing text to its generation source becomes increasingly challenging as multiple large language models produce highly fluent outputs. This study explores an explainable AI–driven approach for distinguishing human-written text from content generated by different LLMs. The framework combines multi-class attribution models with post-hoc explanation techniques to uncover source-specific linguistic cues. Evaluation results show that explainability improves model robustness and supports error analysis across unseen generation sources. The study concludes that XAI-based attribution enables fine-grained differentiation among human and LLM-generated texts while offering interpretable insights into attribution decisions."
Is ChatGPT better than Human Annotators? Potential and Limitations of ChatGPT in Explaining Implicit Hate Speech,"This paper evaluates the effectiveness of ChatGPT in explaining instances of implicit hate speech compared to human annotators. The study analyzes explanation quality, consistency, and coverage across a benchmark dataset containing implicit hate expressions. ChatGPT-generated explanations are evaluated against human annotations using agreement metrics and expert assessment. Results indicate that ChatGPT produces linguistically coherent and standardized explanations but demonstrates limitations in contextual sensitivity and socio-cultural nuance. While ChatGPT achieves competitive performance in explanation consistency, it fails to capture subtle intent and implicit meaning in complex cases. The findings highlight both the potential and constraints of using large language models for implicit hate speech explanation tasks.Understanding and explaining implicit hate speech requires nuanced interpretation beyond explicit lexical cues. This study investigates whether ChatGPT can outperform human annotators in generating explanations for implicit hate speech. A comparative evaluation framework is employed to assess accuracy, interpretability, and bias in ChatGPT-generated and human-written explanations. Experimental results show that ChatGPT offers scalable and uniform explanations but exhibits reduced sensitivity to contextual and cultural factors that influence implicit meaning. Human annotators demonstrate superior performance in ambiguous cases. The study concludes that ChatGPT can support but not replace human annotators in explaining implicit hate speech, emphasizing the importance of human oversight."
Artificial Intelligence versus Maya Angelou: Experimental evidence that people cannot differentiate AI-generated from human-written poetry,"This paper presents an experimental study evaluating human ability to distinguish between AI-generated poetry and human-written poetry. A controlled dataset is constructed containing poems generated by an artificial intelligence system and poems authored by a well-known human poet. Human participants are tasked with classifying poems by authorship under blinded conditions. Evaluation metrics include classification accuracy, response confidence, and inter-annotator agreement. Results indicate that participant performance does not significantly exceed chance level, suggesting limited human ability to differentiate AI-generated poetry from human-written poetry. The findings highlight the increasing stylistic similarity between AI-generated creative text and human literary output.Advances in generative artificial intelligence have enabled the production of poetic text that closely resembles human-authored literature. This study experimentally examines whether readers can reliably distinguish AI-generated poetry from human-written poetry. Participants evaluate poems across multiple stylistic and thematic dimensions without access to source information. Experimental results demonstrate low detection accuracy and high disagreement among participants, particularly for high-quality AI-generated poems. Analysis suggests that linguistic fluency and stylistic imitation reduce human discriminative capability. The study concludes that AI-generated poetry can be perceptually indistinguishable from human-written poetry under controlled evaluation settings."
Role-Playing Simulation Games using ChatGPT,"This paper explores the application of ChatGPT as a core engine for role-playing simulation games. The study analyzes ChatGPT’s ability to generate interactive narratives, non-player character dialogue, and dynamic game states under predefined role and rule constraints. Evaluation focuses on coherence, consistency, and responsiveness across extended gameplay sessions. Experimental results indicate that ChatGPT can support flexible narrative progression and context-aware role adaptation but exhibits limitations in long-term state tracking and rule enforcement. The findings demonstrate the feasibility of integrating large language models into role-playing simulations while identifying challenges for stable and controllable game design.Large language models offer new possibilities for interactive storytelling and simulation-based games. This study investigates the use of ChatGPT in role-playing simulation games, emphasizing its performance in role adherence, narrative generation, and player interaction. A prototype game framework is implemented to evaluate dialogue quality, branching diversity, and player engagement. Results show that ChatGPT produces fluent and immersive role-based interactions but demonstrates variability in maintaining character consistency and game mechanics over time. The study concludes that ChatGPT is suitable as a narrative generation component in role-playing simulations, with additional system-level constraints required for reliable gameplay."
ChatGPT Outperforms Crowd-Workers for Text-Annotation Tasks,"This paper evaluates the performance of ChatGPT on text-annotation tasks in comparison to crowd-workers. The study examines multiple annotation scenarios, including sentiment classification, topic labeling, and toxicity detection. Performance is measured using accuracy, consistency, and inter-annotator agreement metrics. Experimental results show that ChatGPT achieves comparable or higher annotation accuracy and significantly greater consistency than crowd-workers across tasks. However, limitations are observed in handling ambiguous cases and domain-specific content. The findings suggest that ChatGPT can serve as an effective alternative or complement to human crowd-workers for scalable text annotation under controlled conditions.Text annotation is a critical component of natural language processing workflows, traditionally performed by crowd-workers. This study investigates whether ChatGPT can outperform human crowd-workers in text-annotation tasks. A controlled evaluation compares annotation quality, speed, and cost efficiency across multiple datasets. Results indicate that ChatGPT produces highly consistent annotations and outperforms crowd-workers on standardized tasks with clear guidelines. Nevertheless, performance gaps remain in tasks requiring nuanced judgment or contextual understanding. The study concludes that ChatGPT offers strong potential for automated annotation, with human oversight remaining necessary for complex or subjective annotation tasks.
"
"Distinguishing ChatGPT(-3.5, -4)-generated and human-written papers through Japanese stylometric analysis","This paper investigates the feasibility of distinguishing ChatGPT-generated papers from human-written papers using stylometric analysis in the Japanese language. The study analyzes textual features specific to Japanese writing, including character n-grams, morpheme distributions, syntactic patterns, and punctuation usage. Papers generated by ChatGPT-3.5 and ChatGPT-4 are compared with human-authored academic texts using supervised classification models. Experimental results show that stylometric features enable effective separation between machine-generated and human-written papers, with observable differences across model versions. The findings indicate that language-specific stylometric analysis provides a viable approach for detecting LLM-generated text in non-English academic writing.As large language models increasingly generate academic text in multiple languages, reliable detection methods are required beyond English-centric approaches. This study explores Japanese stylometric analysis for differentiating papers generated by ChatGPT-3.5 and ChatGPT-4 from human-written papers. The evaluation focuses on morphological variation, sentence structure, and stylistic regularity unique to Japanese text. Results demonstrate that ChatGPT-generated papers exhibit higher structural consistency and distinct morpheme usage patterns compared to human-written documents. Additionally, differences between ChatGPT-3.5 and ChatGPT-4 outputs are identified. The study concludes that stylometric techniques tailored to Japanese are effective for fine-grained authorship attribution of LLM-generated academic text."
Detecting LLM-Generated Text in Computing Education: A Comparative Study for ChatGPT Cases,"This paper investigates the detection of LLM-generated text in computing education contexts, with a specific focus on ChatGPT-generated content. The study evaluates multiple text detection approaches on student-related artifacts, including programming explanations, assignment reports, and reflective responses. Detection performance is compared across statistical, feature-based, and neural detection models. Experimental results indicate that detection accuracy varies significantly by task type and text length, with lower performance observed in explanatory and reflective writing. The findings highlight challenges in applying generic detection models to educational settings and emphasize the need for domain-aware detection strategies.The integration of large language models such as ChatGPT into computing education raises concerns regarding academic integrity and assessment validity. This study conducts a comparative evaluation of LLM-generated text detection methods in computing education scenarios. Using a curated dataset of human-written and ChatGPT-generated student submissions, the analysis examines detector robustness, false-positive rates, and generalization ability. Results show that existing detectors perform inconsistently across assignment types and levels of technical complexity. The study concludes that reliable detection in computing education requires contextual modeling and pedagogically informed evaluation frameworks."
"ChatGPT Evaluation on Sentence Level Relations: A Focus on Temporal, Causal, and Discourse Relations","This paper evaluates the capability of ChatGPT to model sentence-level relations, with a specific focus on temporal, causal, and discourse relations. The study assesses ChatGPT’s performance on benchmark datasets designed to test relational understanding between sentence pairs and short passages. Evaluation metrics include classification accuracy, relation consistency, and robustness to paraphrased inputs. Experimental results show that ChatGPT performs well on explicit and surface-level relational cues but exhibits reduced accuracy when relations are implicit or require multi-step reasoning. Errors are particularly frequent in distinguishing fine-grained temporal ordering and indirect causal dependencies. The findings provide a systematic analysis of ChatGPT’s strengths and limitations in sentence-level relational understanding.Understanding sentence-level relations is essential for coherent language comprehension and generation. This study investigates ChatGPT’s ability to identify and reason over temporal, causal, and discourse relations between sentences. A structured evaluation framework is applied across multiple relation-specific tasks, including temporal sequencing, causality detection, and discourse relation classification. Results indicate that ChatGPT generates linguistically coherent explanations but demonstrates instability in relation prediction under minor contextual variations. Performance disparities are observed across relation types, with discourse relations showing the highest ambiguity. The study concludes that ChatGPT captures statistical patterns of sentence relations but lacks robust relational reasoning in complex or implicit scenarios."
