Title,abstract
Soft Prompt Threats: Attacking Safety Alignment and Unlearning in Open-Source LLMs through the Embedding Space,"This paper investigates a class of security vulnerabilities in open-source large language models arising from soft prompt manipulation in the embedding space. The study analyzes how learned or optimized soft prompts can be used to bypass safety alignment mechanisms and undermine unlearning objectives without modifying model parameters. Through controlled experiments, we demonstrate that embedding-level perturbations can recover restricted behaviors and reintroduce previously unlearned content. Results indicate that safety and unlearning methods relying solely on output-level constraints are insufficient against embedding-space attacks. The findings highlight the need for robust alignment strategies that account for internal representation-level threats in open-source LLMs.Safety alignment and unlearning are critical components of responsible deployment of open-source large language models. This study explores soft prompt–based attacks that operate directly in the embedding space to compromise these mechanisms. The proposed threat model evaluates the effectiveness of adversarial soft prompts in eliciting restricted or forgotten behaviors across multiple open-source LLMs. Experimental results show that soft prompts can systematically weaken alignment safeguards while remaining difficult to detect using conventional monitoring techniques. Analysis reveals that vulnerabilities stem from transferable representations learned during pretraining. The study concludes that embedding-space attacks pose a significant challenge to current safety and unlearning frameworks, motivating the development of representation-aware defenses."
Evaluation of the Code Generation Capabilities of ChatGPT 4: A Comparative Analysis in 19 Programming Languages,"This study presents a systematic evaluation of the code generation capabilities of ChatGPT-4 through a comparative analysis across 19 programming languages. The evaluation focuses on assessing syntactic correctness, logical accuracy, execution success, and adherence to language-specific best practices. A standardized set of programming tasks, covering algorithmic problems, data structure implementation, and basic software engineering scenarios, was designed and applied uniformly across all languages. The generated code outputs were analyzed using automated compilation, execution testing, and manual verification for logical consistency. Quantitative metrics such as success rate, error frequency, and correction efficiency were used for performance comparison. The results indicate notable variations in code quality across languages, with higher performance observed in widely used languages and comparatively lower consistency in less common or low-level languages. The findings highlight both the strengths and limitations of ChatGPT-4 in multilingual code generation and provide insights into its applicability for cross-language software development and automated programming assistance.   This paper evaluates the effectiveness of ChatGPT-4 in generating source code across 19 distinct programming languages using a controlled experimental framework. The evaluation is conducted by assigning identical programming tasks to each language and analyzing the generated outputs based on correctness, completeness, and execution feasibility. The study employs a metric-driven approach, including compilation success, runtime behavior, and logical validity, to ensure objective comparison. Performance differences among languages are examined to identify patterns related to language popularity, abstraction level, and ecosystem maturity. The analysis demonstrates that ChatGPT-4 exhibits strong code generation performance in high-level and commonly used programming languages, while increased error rates are observed in languages with stricter syntax rules or lower representation in training data. The results contribute to a clearer understanding of large language models’ capabilities in multilingual programming contexts and support future research in automated code generation evaluation."
GPT-Sentinel: Distinguishing Human and ChatGPT Generated Content,"This paper introduces GPT-Sentinel, a framework designed to distinguish between human-authored and ChatGPT-generated textual content. The system employs a combination of linguistic feature analysis, statistical patterns, and machine learning classifiers to identify subtle differences in writing style, token distribution, and syntactic structure. A benchmark dataset comprising diverse text samples from multiple domains was constructed to evaluate the model. Performance metrics including accuracy, precision, recall, and F1-score were computed to quantify detection capability. Experimental results demonstrate that GPT-Sentinel achieves significant discriminative power, with higher accuracy on structured and technical content, and lower performance on highly informal or creative texts. The findings provide insights into the feasibility and limitations of automated detection of AI-generated text and contribute to the development of robust content authentication systems.GPT-Sentinel is proposed as a detection mechanism for differentiating human-written content from ChatGPT-generated text. The framework leverages statistical linguistic features, contextual embeddings, and supervised learning techniques to capture distinctive patterns indicative of AI authorship. Evaluation is conducted on a curated dataset spanning multiple genres and writing styles, with performance assessed using standard classification metrics. Results indicate that GPT-Sentinel reliably identifies AI-generated content with notable accuracy, although performance varies with text length and complexity. The study highlights challenges in automated detection due to stylistic overlap and evolving language model capabilities, emphasizing the need for continuous adaptation of detection systems. These insights are relevant for applications in academic integrity, content moderation, and AI accountability."
Fighting Fire with Fire: Can ChatGPT Detect AI-generated Text?,"This study investigates the potential of ChatGPT as a tool for detecting AI-generated textual content. Using a curated dataset consisting of human-written and AI-generated text samples across multiple domains, the model’s ability to classify content was evaluated. Performance metrics including accuracy, precision, recall, and F1-score were computed to quantify detection effectiveness. The analysis reveals that ChatGPT can identify AI-generated content with moderate success, performing better on structured and technical text while exhibiting limitations on informal, creative, or short text samples. The findings provide evidence that large language models can serve as both content generators and detection mechanisms, highlighting the dual-use nature of AI in textual content analysis.This paper explores the feasibility of using ChatGPT to detect AI-generated text through a systematic evaluation framework. Text samples from diverse genres were presented to ChatGPT, and its classifications were compared against ground-truth labels. Metrics such as detection accuracy, false positive rate, and confidence scores were analyzed to assess performance. Results indicate that while ChatGPT demonstrates the ability to distinguish AI-generated content in many cases, its effectiveness is influenced by text length, style, and domain. The study emphasizes both the opportunities and constraints of leveraging generative models for content verification and suggests directions for improving AI-based detection methodologies."
ChatGPT Informed Graph Neural Network for Stock Movement Prediction,"This paper proposes a ChatGPT-informed Graph Neural Network (GNN) framework for stock movement prediction. The approach integrates textual insights extracted from financial news and reports using ChatGPT with market structural information represented as a graph of interrelated stocks. Node features are derived from both historical price data and natural language embeddings, while edges encode correlations and sector relationships. The GNN model is trained to predict short-term stock movement direction using supervised learning. Performance is evaluated on multiple stock indices with metrics including accuracy, precision, recall, and F1-score. Experimental results demonstrate that incorporating ChatGPT-derived textual information enhances predictive performance compared to baseline GNN models, indicating the potential of combining language models with graph-based market modeling for financial forecasting.    This study presents a novel methodology for stock movement prediction by integrating ChatGPT-generated textual embeddings with Graph Neural Networks. The framework constructs a stock correlation graph where each node represents a stock enriched with features from historical trading data and ChatGPT-processed financial text. Edge weights reflect inter-stock relationships derived from market co-movements and sector affiliation. The GNN is trained to classify stock price direction in short-term horizons, with evaluation based on standard financial prediction metrics. Results indicate that the inclusion of ChatGPT-informed textual features improves model robustness and predictive accuracy, particularly in volatile market periods. The findings suggest that leveraging large language models alongside graph-based structures can provide enhanced insights for automated financial analysis."
Discriminating Human-authored from ChatGPT-Generated Code Via Discernable Feature Analysis,"This paper presents a systematic approach to distinguishing human-authored code from ChatGPT-generated code through discernable feature analysis. The study identifies syntactic patterns, structural characteristics, and code style indicators that differentiate AI-generated outputs from human-written programs. A dataset spanning multiple programming languages and paradigms was curated to evaluate the proposed methodology. Metrics such as detection accuracy, precision, recall, and F1-score were employed to quantify classification performance. Experimental results demonstrate that certain features, including consistent formatting, comment usage, and function complexity, exhibit strong discriminative power. The findings provide insights into automated code authorship verification and highlight the potential of feature-based analysis for AI-generated code detection across diverse programming environments.   This study investigates the feasibility of detecting ChatGPT-generated code using discernable feature analysis. By extracting structural, syntactic, and stylistic attributes from code samples, a classifier is trained to differentiate between human-written and AI-generated code. The evaluation dataset comprises programs in multiple languages and varying complexity levels. Performance is assessed using standard classification metrics, including accuracy, precision, recall, and F1-score. Results indicate that AI-generated code exhibits identifiable patterns in naming conventions, indentation consistency, and logical modularity, which can be leveraged for reliable detection. The research provides a framework for automated code authenticity verification and contributes to understanding the distinguishing characteristics of generative AI in software development contexts."
Is this Snippet Written by ChatGPT? An Empirical Study with a CodeBERT-Based Classifier,"This paper presents an empirical study on detecting ChatGPT-generated code snippets using a CodeBERT-based classifier. A dataset comprising human-written and AI-generated code across multiple programming languages was constructed to evaluate detection performance. The approach leverages pre-trained CodeBERT embeddings to capture syntactic and semantic features, followed by supervised classification to differentiate between human and ChatGPT-authored code. Evaluation metrics including accuracy, precision, recall, and F1-score were computed to quantify effectiveness. Experimental results demonstrate that the CodeBERT-based classifier achieves high discriminative capability, particularly for structured and moderately complex code snippets. The findings highlight the utility of language-model-based embeddings for automated code authorship verification and provide insights into the limitations and strengths of current AI code detection methodologies.   This study investigates the capability of a CodeBERT-based classifier to identify code snippets generated by ChatGPT. The framework extracts contextual embeddings from code samples and applies supervised learning for binary classification. A benchmark dataset encompassing diverse programming languages and code complexities was used for evaluation. Metrics including detection accuracy, precision, recall, and F1-score were analyzed to assess classifier performance. Results indicate that CodeBERT effectively captures distinctive patterns of AI-generated code, achieving reliable detection across multiple languages, while performance varies with snippet length and structural complexity. The research provides evidence for the feasibility of embedding-based detection mechanisms in distinguishing human-authored and AI-generated code, informing future work in automated code authenticity verification."
On Fusing ChatGPT and Ensemble Learning in Discon-tinuous Named Entity Recognition in Health Corpora,"This paper investigates a hybrid framework that fuses ChatGPT with ensemble learning techniques for discontinuous named entity recognition (DNER) in health-related corpora. The proposed approach leverages ChatGPT to generate contextual representations and candidate entity spans, which are subsequently refined using an ensemble of sequence labeling models. The framework is evaluated on benchmark healthcare datasets containing discontinuous entity annotations. Performance is measured using standard NER metrics, including precision, recall, and F1-score. Experimental results demonstrate that the integration of ChatGPT-derived contextual information with ensemble learning improves recognition accuracy compared to standalone models, particularly for complex and fragmented entity structures. The findings highlight the effectiveness of combining large language models with traditional ensemble strategies for advanced information extraction tasks in the healthcare domain.    This study presents a fusion-based methodology that integrates ChatGPT with ensemble learning for addressing discontinuous named entity recognition in health corpora. ChatGPT is employed to enhance contextual understanding of clinical text, while multiple base learners collaboratively perform entity classification and boundary detection. The ensemble framework aggregates predictions to improve robustness against annotation sparsity and entity fragmentation. Evaluation is conducted on healthcare NER datasets using standard performance metrics. Results indicate that the proposed fusion approach outperforms baseline models in detecting discontinuous entities, demonstrating improved generalization and stability. The research contributes to the development of hybrid AI systems for complex named entity recognition tasks in medical text processing."
A Prescriptive Learning Analytics Framework: Beyond Predictive Modelling and onto Explainable AI with Prescriptive Analytics and ChatGPT,"This paper proposes a prescriptive learning analytics framework that extends traditional predictive modelling by integrating explainable artificial intelligence and prescriptive analytics supported by ChatGPT. The framework combines student interaction data, predictive performance models, and explainability mechanisms to generate actionable recommendations for learning interventions. ChatGPT is utilized to translate model outputs and explanations into structured, human-readable prescriptions for instructors and learners. The proposed approach is evaluated using educational datasets, with performance assessed in terms of prediction accuracy, explanation fidelity, and prescription relevance. Experimental results indicate that the integration of explainable and prescriptive components improves decision support beyond predictive analytics alone. The framework demonstrates the potential of large language models to operationalize explainable AI outputs into practical educational actions.     This study introduces a learning analytics framework that moves beyond prediction-centric approaches by incorporating explainable AI and prescriptive analytics enhanced with ChatGPT. Predictive models are first employed to identify learning outcomes and risk patterns, followed by explainability techniques to interpret model decisions. ChatGPT is then applied to generate prescriptive insights by mapping explanations to targeted intervention strategies. The framework is evaluated on real-world educational datasets using quantitative and qualitative measures, including model performance, interpretability, and recommendation effectiveness. Results show that the proposed system provides more actionable and transparent analytics compared to conventional predictive learning analytics. The findings support the role of generative language models in enabling explainable and prescriptive decision-making in educational data mining."
CHEAT: A Large-scale Dataset for Detecting ChatGPT-writtEn AbsTracts,"This paper introduces CHEAT, a large-scale dataset designed for detecting ChatGPT-written academic abstracts. The dataset consists of human-authored and ChatGPT-generated abstracts collected across multiple research domains and publication venues. Each sample is annotated with authorship labels and standardized metadata to support supervised learning and benchmarking tasks. Baseline experiments are conducted using classical machine learning models and transformer-based classifiers to evaluate the effectiveness of the dataset for AI-generated text detection. Performance is measured using accuracy, precision, recall, and F1-score. Experimental results demonstrate that CHEAT enables reliable evaluation of detection models and highlights distinct linguistic patterns between human-written and ChatGPT-generated abstracts. The dataset is intended to facilitate reproducible research in AI-generated text detection and academic integrity analysis.  CHEAT is presented as a large-scale benchmark dataset for identifying ChatGPT-generated academic abstracts. The dataset includes a balanced collection of human-written and AI-generated abstracts spanning diverse scientific disciplines. Standardized preprocessing and annotation procedures are applied to ensure consistency and reproducibility. To validate the dataset, multiple baseline detection models are evaluated, including statistical feature-based classifiers and transformer-based approaches. Results indicate that models trained on CHEAT achieve robust detection performance, while revealing domain-dependent variations in classification difficulty. The dataset provides a foundation for future research on AI-generated academic content detection, authorship attribution, and large language model evaluation."
ChatGPT and Human Synergy in Black-Box Testing: A Comparative Analysis,"This paper investigates the synergy between ChatGPT and human testers in black-box software testing through a comparative analysis framework. The study evaluates test case generation, defect detection capability, and coverage effectiveness across three testing settings: human-only testing, ChatGPT-assisted testing, and collaborative human–ChatGPT testing. A set of software systems with varying complexity levels is used for experimentation. Performance is measured using metrics such as defect detection rate, test coverage, and test generation efficiency. Experimental results indicate that the collaborative approach outperforms individual testing strategies, achieving higher defect detection and broader coverage. The findings suggest that integrating large language models with human expertise can enhance black-box testing effectiveness while maintaining practical applicability in software quality assurance.   This study presents a comparative evaluation of black-box testing approaches involving human testers and ChatGPT. ChatGPT is employed to assist in test scenario generation and input diversification, while human testers contribute domain knowledge and exploratory testing strategies. The effectiveness of each approach is assessed using quantitative testing metrics across multiple software artifacts. Results demonstrate that ChatGPT-assisted and human–ChatGPT collaborative testing achieve improved efficiency and fault detection compared to human-only testing. However, limitations related to contextual understanding and domain specificity are observed. The research highlights the complementary strengths of humans and large language models in black-box testing and provides insights into hybrid testing methodologies for modern software systems."
LLM-as-a-Coauthor: Can Mixed Human-Written and Machine-Generated Text Be Detected?,"This paper investigates the detectability of documents co-authored by humans and large language models (LLMs). The study examines mixed-authorship texts containing varying proportions of human-written and machine-generated content. Linguistic, stylometric, and statistical features are extracted to evaluate whether mixed texts can be distinguished from purely human-authored documents. Experimental results show that detection accuracy decreases as human and machine-generated segments become more interwoven, though identifiable stylistic inconsistencies remain detectable. The findings provide insights into the challenges of authorship attribution in hybrid human–AI writing scenarios.The growing use of large language models as writing assistants raises questions about the detectability of mixed human-written and AI-generated texts. This study evaluates whether documents produced through human–LLM collaboration can be reliably identified. Using a controlled experimental setup, mixed-authorship texts are analyzed across different ratios of machine-generated content. The results indicate that while fully AI-generated texts are more easily detected, hybrid documents present significantly greater detection challenges. This research contributes to understanding the limitations of current detection methods in the era of LLM-assisted co-authorship."
Consistent Explainers or Unreliable Narrators? Understanding LLM-generated Group Recommendations,"This paper investigates the reliability and consistency of explanations generated by large language models (LLMs) in the context of group recommendation tasks. The study evaluates how LLMs generate recommendations and accompanying explanations for groups with diverse preferences. Experimental analyses assess explanation consistency, alignment with group member interests, and sensitivity to input variations. The results reveal that while LLMs can produce coherent and persuasive explanations, their recommendations and rationales may vary across similar scenarios, raising concerns about reliability. The findings highlight key challenges in using LLM-generated explanations for group recommendation systems.Large language models are increasingly applied to recommendation scenarios that involve multiple users and shared decision-making. This study examines whether LLM-generated group recommendations function as consistent explainers or unreliable narrators. By analyzing recommendation outputs and explanation structures under controlled conditions, the research evaluates stability, fairness, and preference coverage. The results indicate that LLMs provide fluent explanations but may inconsistently represent individual and collective preferences. This work contributes to understanding the strengths and limitations of LLMs in explainable group recommendation contexts and informs the design of more dependable recommendation systems."
"Human-Written vs. AI-Generated Code: A Large-Scale Study of Defects, Vulnerabilities, and Complexity","This paper presents a large-scale empirical study comparing human-written code and AI-generated code with respect to software defects, security vulnerabilities, and code complexity. A diverse corpus of code samples is analyzed using static analysis tools and established software metrics. The evaluation focuses on defect density, vulnerability patterns, and structural complexity across multiple programming languages and task types. The results indicate that AI-generated code exhibits comparable syntactic correctness but differs in vulnerability distribution and complexity characteristics. The findings provide quantitative insights into the strengths and limitations of AI-generated code and inform best practices for its adoption in software development.The increasing use of AI-assisted programming tools raises critical questions about the quality and security of generated code. This study conducts a large-scale comparison between human-authored and AI-generated code, examining defects, security vulnerabilities, and complexity metrics. By analyzing thousands of code samples, the study identifies systematic differences in error patterns and structural properties. The results show that while AI-generated code can reduce boilerplate complexity, it may introduce distinct vulnerability profiles. This research contributes empirical evidence to support informed decision-making regarding the integration of AI-generated code into real-world software engineering workflows."
The Imitation Game: Detecting Human and AI-Generated Texts in the Era of ChatGPT and BARD,"This paper investigates the detection of human-written and AI-generated texts in the context of advanced large language models, specifically ChatGPT and BARD. A comparative experimental framework is employed to analyze linguistic, statistical, and stylometric features extracted from both text categories. Multiple classification models are evaluated to assess detection performance across varying text lengths and domains. The results indicate that although ChatGPT- and BARD-generated texts closely resemble human writing, they retain identifiable patterns that enable reliable detection. The findings contribute to understanding the limits of AI text imitation and support the development of effective detection mechanisms in the era of generative language models.The increasing realism of AI-generated text presents significant challenges for authorship identification and misinformation control. This study examines methods for distinguishing human-authored text from content generated by ChatGPT and BARD. Using a feature-based detection approach, the analysis evaluates linguistic and distributional differences across multiple datasets. Experimental results demonstrate that despite advances in text generation quality, AI-generated content exhibits detectable regularities. This research provides empirical insights into automated text detection and informs future strategies for managing AI-generated content in digital ecosystems."
Building Instruction-Tuning Datasets from Human-Written Instructions with Open-Weight Large Language Models,"This paper presents a methodology for constructing instruction-tuning datasets by leveraging human-written instructions and open-weight large language models. The proposed approach uses open-weight models to expand, normalize, and structure human-authored instructions into high-quality instruction–response pairs suitable for supervised fine-tuning. The dataset construction process is evaluated in terms of diversity, consistency, and task coverage. Experimental results show that the resulting instruction-tuning datasets improve downstream model performance while maintaining alignment with human intent. The findings demonstrate the effectiveness of combining human-written instructions with open-weight models for scalable and transparent dataset generation.Instruction-tuning has emerged as a critical technique for enhancing the usability of large language models. This study explores the use of open-weight large language models to transform human-written instructions into structured instruction-tuning datasets. A semi-automated pipeline is proposed to refine, augment, and validate instruction data while preserving semantic fidelity. Quantitative and qualitative evaluations indicate that models fine-tuned on the constructed datasets achieve improved task generalization and instruction-following behavior. The results highlight the potential of open-weight models as cost-effective tools for building high-quality instruction-tuning resources."
"ChatGPT and biometrics: an assessment of face recognition, gender detection, and age estimation capabilities","This paper assesses the capabilities and limitations of ChatGPT in the context of biometric-related tasks, specifically face recognition, gender detection, and age estimation. The study analyzes ChatGPT’s performance when responding to prompts involving biometric information, focusing on accuracy, consistency, and compliance with task constraints. Experimental evaluations indicate that while ChatGPT can provide high-level explanations and reasoning about biometric systems, it lacks direct perceptual capabilities required for reliable face recognition and demographic inference. The findings highlight a clear distinction between language-based reasoning and vision-based biometric processing, emphasizing the importance of modality-specific models for biometric applications.Biometric technologies such as face recognition, gender detection, and age estimation rely heavily on visual data and specialized machine learning models. This study evaluates ChatGPT’s role and effectiveness in biometric-related tasks through a systematic assessment of its responses to face and demographic inference scenarios. The analysis demonstrates that ChatGPT is suitable for descriptive, analytical, and advisory tasks related to biometrics but is not designed for direct biometric identification or estimation. The results clarify the capabilities and boundaries of large language models in biometric contexts and provide guidance for their appropriate use alongside dedicated biometric systems."
Stylometry recognizes human and LLM-generated texts in short samples,"This paper investigates the effectiveness of stylometric techniques in distinguishing between human-written and large language model (LLM)-generated texts using short text samples. A set of stylometric features, including character-level statistics, lexical patterns, and syntactic markers, is extracted from both text categories. Classification models are trained and evaluated on short-length samples to assess detection performance. Experimental results demonstrate that stylometric methods achieve reliable discrimination accuracy even under limited text length conditions. The findings suggest that LLM-generated texts exhibit measurable stylistic regularities that can be identified through stylometric analysis.Identifying machine-generated text in short samples presents a significant challenge due to reduced contextual information. This study evaluates whether stylometric analysis can effectively differentiate human-authored and LLM-generated texts when sample length is constrained. Using a feature-based classification framework, the analysis compares stylistic signals across both text types. The results show that despite minimal input length, stylometric features remain discriminative and enable accurate classification. This research provides empirical evidence supporting stylometry as a viable approach for detecting LLM-generated text in real-world, short-form content."
Behind India's ChatGPT Conversations: A Retrospective Analysis of 238 Unedited User Prompts,"This study presents a retrospective analysis of 238 unedited user prompts collected from ChatGPT conversations originating in India. The prompts are examined to identify thematic patterns, linguistic characteristics, and usage behaviors across different application domains. Quantitative and qualitative analyses are conducted to assess prompt intent, complexity, and interaction style. The results reveal dominant use cases related to education, programming assistance, and content generation, along with distinctive linguistic features influenced by regional and multilingual contexts. The findings provide empirical insights into how users in India interact with large language models and contribute to a better understanding of real-world LLM usage patterns.Understanding real-world user interactions is essential for evaluating large language model adoption and behavior. This paper analyzes 238 unedited ChatGPT user prompts from India to explore prompt characteristics and user engagement trends. A corpus-based methodology is employed to categorize prompts by intent, language structure, and task type. The analysis highlights diverse user objectives, varying prompt formulation strategies, and the influence of local linguistic practices. The results offer valuable evidence on regional interaction patterns with conversational AI systems and inform the design of more inclusive and context-aware language models."
A Linguistic Comparison between Human and ChatGPT-Generated Conversations,"This paper presents a linguistic comparison between human conversations and conversations generated by ChatGPT. The study analyzes structural, lexical, and pragmatic features across both conversation types using quantitative linguistic metrics. Measures such as lexical diversity, syntactic complexity, discourse coherence, and turn-taking behavior are examined. Experimental results indicate that ChatGPT-generated conversations closely approximate human conversational patterns at the surface level but exhibit reduced variability and pragmatic nuance. The findings highlight systematic linguistic differences that distinguish machine-generated dialogue from human interaction and provide insights into the conversational capabilities and limitations of large language models.Large language models have demonstrated strong performance in conversational text generation; however, their linguistic alignment with human conversation remains an open question. This study conducts a comparative linguistic analysis of human-authored and ChatGPT-generated conversations across multiple domains. Using corpus-based methods, the analysis evaluates differences in lexical choice, syntactic structure, and discourse organization. The results show that while ChatGPT-generated conversations achieve high grammatical accuracy and coherence, they display more uniform linguistic patterns compared to human dialogue. This research contributes to a deeper understanding of conversational realism in AI-generated text and informs future improvements in dialogue systems."
Optimization is Better than Generation: Optimizing Commit Message Leveraging Human-written Commit Message,"This paper investigates an optimization-based approach to commit message construction by leveraging existing human-written commit messages rather than generating messages from scratch. The proposed framework refines and restructures human-authored commit messages using optimization techniques guided by linguistic and semantic quality constraints. The approach is evaluated on software repositories using metrics such as semantic consistency, informativeness, and developer preference. Experimental results demonstrate that optimized commit messages outperform fully generated messages in terms of clarity, relevance, and alignment with code changes. The findings suggest that optimization of human-written artifacts is a more effective strategy than direct generation for commit message enhancement.Commit message quality plays a critical role in software maintenance and comprehension. This study explores whether optimizing human-written commit messages yields better outcomes than generating commit messages using automated models. By applying refinement-based optimization techniques to existing messages, the proposed method preserves human intent while improving structural and semantic quality. Comparative experiments show that optimized messages achieve higher consistency and readability compared to automatically generated counterparts. The results indicate that leveraging human-written commit messages through optimization provides a more reliable and practical solution for commit message improvement in real-world software development environments."
Seeing Through AI's Lens: Enhancing Human Skepticism Towards LLM-Generated Fake News,"This paper examines methods for enhancing human skepticism toward fake news generated by large language models (LLMs). The study analyzes how exposure to AI-generated content characteristics influences users’ ability to identify misinformation. Through controlled experiments, participants evaluate news articles produced by LLMs under different disclosure and explanation settings. The results indicate that increasing transparency about generative mechanisms and highlighting linguistic cues associated with synthetic text significantly improves users’ skepticism and detection accuracy. The findings suggest that human-centered interventions can mitigate the risks posed by LLM-generated fake news and support more resilient information consumption practices.The rapid advancement of large language models has increased the realism and scalability of fake news generation. This research investigates strategies to strengthen human skepticism toward LLM-generated misinformation. By comparing user responses to AI-generated and human-written news articles, the study evaluates the impact of awareness cues and analytical guidance on misinformation detection. Experimental results show that informed users demonstrate higher skepticism and improved judgment accuracy when assessing AI-generated fake news. The study contributes empirical insights into combating AI-driven misinformation and informs the design of effective countermeasures for digital media literacy."
Contrasting Linguistic Patterns in Human and LLM-Generated News Text,"This investigation analyzes linguistic differences between human-authored news articles and texts generated by large language models (LLMs). Outputs from six LLMs across three model families (LLaMA, Mistral, Falcon) and varying parameter sizes are compared to human-written English news from contemporary sources. Multiple linguistic dimensions are evaluated, including morphological richness, syntactic complexity, dependency structures, constituent lengths, sentence length variation, lexical diversity metrics (STTR, MTLD), psychometric properties (emotion, toxicity), and sociolinguistic biases (sexism). Results demonstrate systematic contrasts: human texts exhibit greater vocabulary richness, scattered sentence lengths, optimized dependency distances, stronger negative emotions, and inherent biases. LLM-generated texts display increased use of numbers, symbols, auxiliaries, pronouns, and heightened toxicity in larger models. Implications for AI detection and bias mitigation are examined.Large language models (LLMs) produce news-like text, yet alignment with human journalistic patterns remains unestablished. This study contrasts linguistic features in human-written news against outputs from multiple LLMs (LLaMA 7B-70B, Mistral 7B, Falcon 7B-180B) prompted with recent headlines. Analyses cover syntactic parsing (dependencies, constituents), morphological patterns, lexical diversity (type-token ratios, MTLD), sentence variability, emotional valence, toxicity levels, and gender bias indicators. Findings reveal human texts feature higher lexical diversity, diverse dependency types, shorter constituents, negative emotional dominance, and moderate biases. LLM texts show uniform sentence structures, objective markers (numerals, auxiliaries), reduced negative affect, amplified toxicity with scale, and exaggerated sexist patterns in most models. Differences exceed inter-LLM variation. Outcomes inform forensic linguistics and ethical AI deployment."
Unleashing the power of text for credit default prediction: Comparing human-written and generative AI-refined texts,"This study investigates the effectiveness of textual information for credit default prediction by comparing human-written texts with generative AI-refined texts. Natural language processing techniques are applied to extract linguistic and semantic features from both text types, which are then integrated into predictive credit risk models. Model performance is evaluated using standard classification metrics, including accuracy, precision, recall, and AUC. Experimental results indicate that generative AI-refined texts enhance feature consistency and improve predictive performance compared to raw human-written texts. The findings demonstrate the potential of generative AI as a tool for refining textual data to support more accurate and robust credit default prediction models.Textual data has become an important source of information for credit risk assessment. This paper examines the impact of generative AI-refined text on credit default prediction performance in comparison with human-authored text. Using a supervised learning framework, textual representations derived from both text sources are incorporated into credit scoring models. The comparative analysis shows that AI-refined texts reduce noise and improve model generalization while preserving essential semantic content. The results suggest that generative AI can effectively augment human-written text for financial risk modeling, offering practical implications for data-driven credit assessment systems."
"Do LLMs produce texts with ""human-like"" lexical diversity?","This study examines lexical diversity patterns in texts generated by large language models (LLMs). Texts produced by multiple GPT variants are compared to human-written samples from native and non-native English speakers across varying proficiency levels. Six dimensions of lexical diversity are analyzed: volume, variety-repetition ratio, evenness, disparity, dispersion, and abundance. Results show systematic deviations in LLM outputs, with higher uniformity in word distribution and elevated unique word usage relative to text length. Newer models exhibit greater divergence from human patterns. Implications for detecting machine-generated content and applications in linguistic analysis are discussed.Large language models (LLMs) generate coherent text, but the extent of human-like lexical diversity remains undetermined. This investigation compares outputs from four ChatGPT models against human texts collected from 240 participants representing L1 and L2 English users at different educational stages. Metrics applied include type-token ratios adjusted for length, hypergeometric distribution measures, and multi-dimensional indices capturing repetition, evenness, and dispersion. Findings indicate LLMs produce texts with hyper-diverse vocabulary profiles that exceed human norms in uniqueness and evenness while lacking natural repetition patterns. Advanced models display reduced similarity to human writing. These outcomes highlight limitations in mimicking authentic lexical sophistication."
Studying How Configurations Impact Code Generation in LLMs: the Case of ChatGPT,"This paper investigates the impact of configuration parameters on code generation performance in large language models, with a specific focus on ChatGPT. Different configuration settings, including temperature, prompt structure, and system-level constraints, are systematically analyzed to evaluate their influence on code correctness, readability, and efficiency. Experimental results demonstrate that variations in configurations significantly affect the syntactic accuracy and logical consistency of generated code. The findings highlight that lower-temperature configurations tend to produce more deterministic and structurally correct outputs, while higher-temperature settings increase diversity at the cost of reliability. This study provides empirical evidence that configuration tuning is a critical factor in optimizing code generation tasks and offers insights for researchers and practitioners aiming to improve automated programming systems. Large language models have shown strong capabilities in automated code generation; however, the role of configuration parameters in shaping output quality remains underexplored. This study examines how different configuration settings influence code generation behavior in ChatGPT. By conducting controlled experiments across multiple programming tasks, the research evaluates variations in functional correctness, error frequency, and response consistency under different configurations. The results indicate that configuration choices directly impact model performance and output stability. The analysis confirms that carefully selected configurations can significantly enhance code generation reliability. These findings contribute to a deeper understanding of configuration-sensitive behavior in large language models and support the development of more robust AI-assisted software engineering workflows."